BTC-Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Date,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Date,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,LTC-Date,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Adj Close,LTC-Volume
16/07/2010,0.04951,0.04951,0.04951,0.04951,0.04951,0,16/07/2010,0,0,0,0,0,0,16/07/2010,0,0,0,0,0,0,16/07/2010,0,0,0,0,0,0
17/07/2010,0.04951,0.08585,0.05941,0.08584,0.08584,5,17/07/2010,0,0,0,0,0,0,17/07/2010,0,0,0,0,0,0,17/07/2010,0,0,0,0,0,0
18/07/2010,0.08584,0.09307,0.07723,0.0808,0.0808,49,18/07/2010,0,0,0,0,0,0,18/07/2010,0,0,0,0,0,0,18/07/2010,0,0,0,0,0,0
19/07/2010,0.0808,0.08181,0.07426,0.07474,0.07474,20,19/07/2010,0,0,0,0,0,0,19/07/2010,0,0,0,0,0,0,19/07/2010,0,0,0,0,0,0
20/07/2010,0.07474,0.07921,0.06634,0.07921,0.07921,42,20/07/2010,0,0,0,0,0,0,20/07/2010,0,0,0,0,0,0,20/07/2010,0,0,0,0,0,0
21/07/2010,0.07921,0.08181,0.0505,0.0505,0.0505,129,21/07/2010,0,0,0,0,0,0,21/07/2010,0,0,0,0,0,0,21/07/2010,0,0,0,0,0,0
22/07/2010,0.0505,0.06767,0.0505,0.06262,0.06262,141,22/07/2010,0,0,0,0,0,0,22/07/2010,0,0,0,0,0,0,22/07/2010,0,0,0,0,0,0
23/07/2010,0.06262,0.06161,0.05049,0.05454,0.05454,26,23/07/2010,0,0,0,0,0,0,23/07/2010,0,0,0,0,0,0,23/07/2010,0,0,0,0,0,0
24/07/2010,0.05454,0.05941,0.0505,0.0505,0.0505,85,24/07/2010,0,0,0,0,0,0,24/07/2010,0,0,0,0,0,0,24/07/2010,0,0,0,0,0,0
25/07/2010,0.0505,0.056,0.05,0.056,0.056,46,25/07/2010,0,0,0,0,0,0,25/07/2010,0,0,0,0,0,0,25/07/2010,0,0,0,0,0,0
26/07/2010,0.056,0.0605,0.053,0.06,0.06,196,26/07/2010,0,0,0,0,0,0,26/07/2010,0,0,0,0,0,0,26/07/2010,0,0,0,0,0,0
27/07/2010,0.06,0.062,0.054,0.0589,0.0589,255,27/07/2010,0,0,0,0,0,0,27/07/2010,0,0,0,0,0,0,27/07/2010,0,0,0,0,0,0
28/07/2010,0.0589,0.0699,0.0571,0.0699,0.0699,528,28/07/2010,0,0,0,0,0,0,28/07/2010,0,0,0,0,0,0,28/07/2010,0,0,0,0,0,0
29/07/2010,0.0699,0.0698,0.0582,0.0627,0.0627,198,29/07/2010,0,0,0,0,0,0,29/07/2010,0,0,0,0,0,0,29/07/2010,0,0,0,0,0,0
30/07/2010,0.0627,0.06889,0.056,0.06785,0.06785,243,30/07/2010,0,0,0,0,0,0,30/07/2010,0,0,0,0,0,0,30/07/2010,0,0,0,0,0,0
31/07/2010,0.06785,0.065,0.06,0.0611,0.0611,162,31/07/2010,0,0,0,0,0,0,31/07/2010,0,0,0,0,0,0,31/07/2010,0,0,0,0,0,0
1/08/2010,0.0611,0.0633,0.06,0.06,0.06,221,1/08/2010,0,0,0,0,0,0,1/08/2010,0,0,0,0,0,0,1/08/2010,0,0,0,0,0,0
2/08/2010,0.06,0.065,0.059,0.06,0.06,606,2/08/2010,0,0,0,0,0,0,2/08/2010,0,0,0,0,0,0,2/08/2010,0,0,0,0,0,0
3/08/2010,0.06,0.06231,0.057,0.057,0.057,210,3/08/2010,0,0,0,0,0,0,3/08/2010,0,0,0,0,0,0,3/08/2010,0,0,0,0,0,0
